-123.26; -687.93; 1029.36; 667.33; -266.44; 238.27; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1029.36; 
-31.01; -687.93; 1029.36; 667.33; -266.44; 238.27; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1029.36; 
-31.01; -687.93; 1112.00; 667.33; -266.44; 238.27; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1112.00; 
-31.01; -687.93; 1112.00; 667.33; -266.44; 257.08; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1112.00; 
317.03; -687.93; 1112.00; 667.33; -266.44; 257.08; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1112.00; 
317.03; -687.93; 1682.47; 667.33; -266.44; 257.08; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1682.47; 
317.03; -687.93; 1682.47; 667.33; 80.28; 257.08; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1682.47; 
317.03; -687.93; 1682.47; 667.33; 80.28; 886.19; -600.82; 70.65; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1682.47; 
317.03; -687.93; 1682.47; 667.33; 80.28; 886.19; -600.82; 130.68; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1682.47; 
531.61; -687.93; 1682.47; 667.33; 80.28; 886.19; -600.82; 130.68; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1682.47; 
531.61; -687.93; 1682.47; 1097.92; 80.28; 886.19; -600.82; 130.68; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1682.47; 
531.61; -687.93; 1682.47; 1097.92; 80.28; 958.63; -600.82; 130.68; 845.31; 515.41; 1;1;1;1;1;1;1;1;1;1;Best solution: ;1682.47; 
